20 40
5 10
15 35
1 0 0
1 0 1
1 0 2
1 0 3
1 0 4
1 0 5
1 0 6
1 0 7
1 0 8
1 0 9
1 0 10
1 0 11
1 0 12
1 0 13
1 0 14
1 0 15
1 0 16
1 0 17
1 0 18
1 0 19
1 0 20
1 0 21
1 0 22
1 0 23
1 0 24
1 0 25
1 0 26
1 0 27
1 0 28
1 0 29
1 0 30
1 0 31
1 0 32
1 0 33
1 0 34
1 0 35
1 0 36
1 0 37
1 0 38
1 0 39
1 1 0
1 1 18
1 1 39
1 2 0
1 2 5
1 2 18
1 2 25
1 2 39
1 3 0
1 3 5
1 3 18
1 3 25
1 3 39
1 4 0
1 4 5
1 4 18
1 4 25
1 4 29
1 4 39
1 5 0
1 5 5
1 5 18
1 5 23
1 5 24
1 5 25
1 5 26
1 5 27
1 5 28
1 5 29
1 5 39
1 6 0
1 6 5
1 6 15
1 6 16
1 6 17
1 6 18
1 6 20
1 6 21
1 6 22
1 6 23
1 6 27
1 6 29
1 6 39
1 7 0
1 7 5
1 7 15
1 7 18
1 7 20
1 7 29
1 7 30
1 7 31
1 7 32
1 7 33
1 7 34
1 7 35
1 7 36
1 7 39
1 8 0
1 8 5
1 8 15
1 8 18
1 8 20
1 8 36
1 8 39
1 9 0
1 9 5
1 9 6
1 9 7
1 9 8
1 9 9
1 9 10
1 9 11
1 9 12
1 9 13
1 9 14
1 9 15
1 9 18
1 9 20
1 9 22
1 9 23
1 9 24
1 9 25
1 9 26
1 9 27
1 9 28
1 9 29
1 9 36
1 9 37
1 9 39
1 10 0
1 10 10
1 10 15
1 10 22
1 10 29
1 10 39
1 11 0
1 11 10
1 11 22
1 11 25
1 11 29
1 11 39
1 12 0
1 12 10
1 12 22
1 12 25
1 12 29
1 12 36
1 12 39
1 13 0
1 13 10
1 13 22
1 13 25
1 13 29
1 13 30
1 13 31
1 13 32
1 13 33
1 13 34
1 13 35
1 13 36
1 13 37
1 13 39
1 14 0
1 14 10
1 14 22
1 14 25
1 14 29
1 14 39
1 15 0
1 15 5
1 15 6
1 15 7
1 15 8
1 15 9
1 15 10
1 15 22
1 15 25
1 15 29
1 15 39
1 16 0
1 16 10
1 16 22
1 16 25
1 16 29
1 16 39
1 17 0
1 17 22
1 17 25
1 17 29
1 17 39
1 18 0
1 18 25
1 18 39
1 19 0
1 19 1
1 19 2
1 19 3
1 19 4
1 19 5
1 19 6
1 19 7
1 19 8
1 19 9
1 19 10
1 19 11
1 19 12
1 19 13
1 19 14
1 19 15
1 19 16
1 19 17
1 19 18
1 19 19
1 19 20
1 19 21
1 19 22
1 19 23
1 19 24
1 19 25
1 19 26
1 19 27
1 19 28
1 19 29
1 19 30
1 19 31
1 19 32
1 19 33
1 19 34
1 19 35
1 19 36
1 19 37
1 19 38
1 19 39
