200 400
5 10
180 360
1 0 0
1 0 1
1 0 2
1 0 3
1 0 4
1 0 5
1 0 6
1 0 7
1 0 8
1 0 9
1 0 10
1 0 11
1 0 12
1 0 13
1 0 14
1 0 15
1 0 16
1 0 17
1 0 18
1 0 19
1 0 20
1 0 21
1 0 22
1 0 23
1 0 24
1 0 25
1 0 26
1 0 27
1 0 28
1 0 29
1 0 30
1 0 31
1 0 32
1 0 33
1 0 34
1 0 35
1 0 36
1 0 37
1 0 38
1 0 39
1 0 40
1 0 41
1 0 42
1 0 43
1 0 44
1 0 45
1 0 46
1 0 47
1 0 48
1 0 49
1 0 50
1 0 51
1 0 52
1 0 53
1 0 54
1 0 55
1 0 56
1 0 57
1 0 58
1 0 59
1 0 60
1 0 61
1 0 62
1 0 63
1 0 64
1 0 65
1 0 66
1 0 67
1 0 68
1 0 69
1 0 70
1 0 71
1 0 72
1 0 73
1 0 74
1 0 75
1 0 76
1 0 77
1 0 78
1 0 79
1 0 80
1 0 81
1 0 82
1 0 83
1 0 84
1 0 85
1 0 86
1 0 87
1 0 88
1 0 89
1 0 90
1 0 91
1 0 92
1 0 93
1 0 94
1 0 95
1 0 96
1 0 97
1 0 98
1 0 99
1 0 100
1 0 101
1 0 102
1 0 103
1 0 104
1 0 105
1 0 106
1 0 107
1 0 108
1 0 109
1 0 110
1 0 111
1 0 112
1 0 113
1 0 114
1 0 115
1 0 116
1 0 117
1 0 118
1 0 119
1 0 120
1 0 121
1 0 122
1 0 123
1 0 124
1 0 125
1 0 126
1 0 127
1 0 128
1 0 129
1 0 130
1 0 131
1 0 132
1 0 133
1 0 134
1 0 135
1 0 136
1 0 137
1 0 138
1 0 139
1 0 140
1 0 141
1 0 142
1 0 143
1 0 144
1 0 145
1 0 146
1 0 147
1 0 148
1 0 149
1 0 150
1 0 151
1 0 152
1 0 153
1 0 154
1 0 155
1 0 156
1 0 157
1 0 158
1 0 159
1 0 160
1 0 161
1 0 162
1 0 163
1 0 164
1 0 165
1 0 166
1 0 167
1 0 168
1 0 169
1 0 170
1 0 171
1 0 172
1 0 173
1 0 174
1 0 175
1 0 176
1 0 177
1 0 178
1 0 179
1 0 180
1 0 181
1 0 182
1 0 183
1 0 184
1 0 185
1 0 186
1 0 187
1 0 188
1 0 189
1 0 190
1 0 191
1 0 192
1 0 193
1 0 194
1 0 195
1 0 196
1 0 197
1 0 198
1 0 199
1 0 200
1 0 201
1 0 202
1 0 203
1 0 204
1 0 205
1 0 206
1 0 207
1 0 208
1 0 209
1 0 210
1 0 211
1 0 212
1 0 213
1 0 214
1 0 215
1 0 216
1 0 217
1 0 218
1 0 219
1 0 220
1 0 221
1 0 222
1 0 223
1 0 224
1 0 225
1 0 226
1 0 227
1 0 228
1 0 229
1 0 230
1 0 231
1 0 232
1 0 233
1 0 234
1 0 235
1 0 236
1 0 237
1 0 238
1 0 239
1 0 240
1 0 241
1 0 242
1 0 243
1 0 244
1 0 245
1 0 246
1 0 247
1 0 248
1 0 249
1 0 250
1 0 251
1 0 252
1 0 253
1 0 254
1 0 255
1 0 256
1 0 257
1 0 258
1 0 259
1 0 260
1 0 261
1 0 262
1 0 263
1 0 264
1 0 265
1 0 266
1 0 267
1 0 268
1 0 269
1 0 270
1 0 271
1 0 272
1 0 273
1 0 274
1 0 275
1 0 276
1 0 277
1 0 278
1 0 279
1 0 280
1 0 281
1 0 282
1 0 283
1 0 284
1 0 285
1 0 286
1 0 287
1 0 288
1 0 289
1 0 290
1 0 291
1 0 292
1 0 293
1 0 294
1 0 295
1 0 296
1 0 297
1 0 298
1 0 299
1 0 300
1 0 301
1 0 302
1 0 303
1 0 304
1 0 305
1 0 306
1 0 307
1 0 308
1 0 309
1 0 310
1 0 311
1 0 312
1 0 313
1 0 314
1 0 315
1 0 316
1 0 317
1 0 318
1 0 319
1 0 320
1 0 321
1 0 322
1 0 323
1 0 324
1 0 325
1 0 326
1 0 327
1 0 328
1 0 329
1 0 330
1 0 331
1 0 332
1 0 333
1 0 334
1 0 335
1 0 336
1 0 337
1 0 338
1 0 339
1 0 340
1 0 341
1 0 342
1 0 343
1 0 344
1 0 345
1 0 346
1 0 347
1 0 348
1 0 349
1 0 350
1 0 351
1 0 352
1 0 353
1 0 354
1 0 355
1 0 356
1 0 357
1 0 358
1 0 359
1 0 360
1 0 361
1 0 362
1 0 363
1 0 364
1 0 365
1 0 366
1 0 367
1 0 368
1 0 369
1 0 370
1 0 371
1 0 372
1 0 373
1 0 374
1 0 375
1 0 376
1 0 377
1 0 378
1 0 379
1 0 380
1 0 381
1 0 382
1 0 383
1 0 384
1 0 385
1 0 386
1 0 387
1 0 388
1 0 389
1 0 390
1 0 391
1 0 392
1 0 393
1 0 394
1 0 395
1 0 396
1 0 397
1 0 398
1 0 399
1 1 0
1 1 394
1 1 395
1 1 396
1 1 397
1 1 399
1 2 0
1 2 389
1 2 390
1 2 391
1 2 392
1 2 393
1 2 394
1 2 395
1 2 396
1 2 397
1 2 399
1 3 0
1 3 386
1 3 387
1 3 388
1 3 389
1 3 390
1 3 391
1 3 392
1 3 393
1 3 394
1 3 395
1 3 396
1 3 397
1 3 399
1 4 0
1 4 384
1 4 385
1 4 386
1 4 387
1 4 388
1 4 389
1 4 390
1 4 391
1 4 392
1 4 393
1 4 394
1 4 395
1 4 396
1 4 397
1 4 399
1 5 0
1 5 382
1 5 383
1 5 384
1 5 385
1 5 386
1 5 387
1 5 388
1 5 389
1 5 390
1 5 391
1 5 392
1 5 393
1 5 394
1 5 395
1 5 396
1 5 397
1 5 399
1 6 0
1 6 380
1 6 381
1 6 382
1 6 383
1 6 384
1 6 385
1 6 386
1 6 387
1 6 388
1 6 389
1 6 390
1 6 391
1 6 392
1 6 393
1 6 394
1 6 395
1 6 396
1 6 397
1 6 399
1 7 0
1 7 378
1 7 379
1 7 380
1 7 381
1 7 382
1 7 383
1 7 384
1 7 385
1 7 386
1 7 387
1 7 388
1 7 389
1 7 390
1 7 391
1 7 392
1 7 393
1 7 394
1 7 395
1 7 396
1 7 397
1 7 399
1 8 0
1 8 377
1 8 378
1 8 379
1 8 380
1 8 381
1 8 382
1 8 383
1 8 384
1 8 385
1 8 386
1 8 387
1 8 388
1 8 389
1 8 390
1 8 391
1 8 392
1 8 393
1 8 394
1 8 395
1 8 396
1 8 397
1 8 399
1 9 0
1 9 375
1 9 376
1 9 377
1 9 378
1 9 379
1 9 380
1 9 381
1 9 382
1 9 383
1 9 384
1 9 385
1 9 386
1 9 387
1 9 388
1 9 389
1 9 390
1 9 391
1 9 392
1 9 393
1 9 399
1 10 0
1 10 373
1 10 374
1 10 375
1 10 376
1 10 377
1 10 378
1 10 379
1 10 380
1 10 381
1 10 382
1 10 383
1 10 384
1 10 385
1 10 386
1 10 387
1 10 388
1 10 389
1 10 399
1 11 0
1 11 372
1 11 373
1 11 374
1 11 375
1 11 376
1 11 377
1 11 378
1 11 379
1 11 380
1 11 381
1 11 382
1 11 383
1 11 384
1 11 385
1 11 386
1 11 399
1 12 0
1 12 370
1 12 371
1 12 372
1 12 373
1 12 374
1 12 375
1 12 376
1 12 377
1 12 378
1 12 379
1 12 380
1 12 381
1 12 382
1 12 383
1 12 384
1 12 399
1 13 0
1 13 369
1 13 370
1 13 371
1 13 372
1 13 373
1 13 374
1 13 375
1 13 376
1 13 377
1 13 378
1 13 379
1 13 380
1 13 381
1 13 382
1 13 399
1 14 0
1 14 178
1 14 182
1 14 368
1 14 369
1 14 370
1 14 371
1 14 372
1 14 373
1 14 374
1 14 375
1 14 376
1 14 377
1 14 378
1 14 379
1 14 380
1 14 381
1 14 399
1 15 0
1 15 167
1 15 168
1 15 169
1 15 170
1 15 172
1 15 173
1 15 176
1 15 177
1 15 178
1 15 179
1 15 180
1 15 181
1 15 182
1 15 183
1 15 184
1 15 367
1 15 368
1 15 369
1 15 370
1 15 371
1 15 372
1 15 373
1 15 374
1 15 375
1 15 376
1 15 377
1 15 378
1 15 379
1 15 380
1 15 399
1 16 0
1 16 163
1 16 164
1 16 165
1 16 166
1 16 167
1 16 168
1 16 170
1 16 171
1 16 173
1 16 174
1 16 175
1 16 176
